udise_code,school_name
27201006602,Aarudh Vidyalaya Mhalsakore
27201001406,Abhinav Bal Vikas Mandir Chatori
27201002105,Abhinav Bal Vikas Mandir Deogaon
27201006606,Abhinav Bal Vikas Mandir Mhalsakore
27201007009,Abhinav Bal Vikas Mandir Nandur Madhyameshwar
27201007107,Abhinav Bal Vikas Mandir Nandurdi
27201008711,Abhinav Bal Vikas Mandir Pimpalgaon (B)
27201010206,Abhinav Bal Vikas Mandir Saikheda
27201007911,"Abhinav Bal Vikas, Ozar"
27201006505,Abhinav Balvikas Mandir Muje Sukene
27201008812,Adarsh Eng Med Sch Pimpalgaon B
27201007617,Adarsh English Medium School Niphad
27201007931,Adarsh English Medium Secondary School Ozar Mig
27201007923,Adarsh English School Ozar Mig
27201005202,Adarsh Mad Vid Kotamgaon
27201009003,Adarsh Madyamik & Jr College Pimpalgaon Nipani
27201001612,Adarsh Pri School Chandori
27201006702,Anu Ashram Pri Sch Mukhed
27201009702,Anu Jati And Nav Buddha Boys School Niphad
27201006703,Anu Secondary & Higher Secondary Ashram School Mukhed
27201011303,Anudanit Prat. Ash.Sch.Sonewad
27201008713,Apple Public School Pimpalgaon Baswant
27201007924,Art Commerce Science Collage Ozar
27201008808,Bhimashankar English Pimpalgaon B
27201008811,Bhimashankar Pri School Pimpalgaon
27201008709,Brahma Valley English Medium School Pimpalgaon Baswant
27201013402,Cha.Shivaji Sec.& High Sec.Vidyalay Vanasgaon
27201012506,Cha.Shivaji High School Ugaon
27201005103,Cha.Shivaji Vid.Kokangaon
27201002103,D.R.B Vidyalaya Devgaon Taluka Niphad
27201007616,Dnyandeep English Medium School Niphad
27201006607,Dnyandeep English School Mhalsakore
27201003702,Dnyanvardhini Public School Jivale Tal Niphad
27201007612,English Medium Sch Niphad Secondary Niphad
27201005808,English Medium School Kalagidhar
27201007605,English Medium School Niphad
27201008604,Gitai Wagh Kanya Vidyalaya Bhausaheb Nagar
27201010403,Godavari Madhyamik Vidyalaya Shingave
27201008810,Gokhle Edu Soc English School Pimpalgaon B
27201007928,Golden Days Universal School Ozar
27201007932,Golden Days Universal School Ozar Taluka Niphad
27201008714,Golden Wings English Medium School Pimpalgaon Baswant
27201007919,H.A.L Primary English School Ozar Township
27201007918,H.A.L.High School English Med Ozar Township
27201007917,H.A.L.High School Marathi Med Ozar Township
27201010208,Hidden Gems English Medium School Saikheda
27201007613,Hiteshkumar Jain English Medium School Niphad
27201007618,Horizon Academy Niphad
27201008717,Horizon Academy Pimpalgaon Baswant
27201005804,Jain Prathamik Shikshan Mandir Lasalgaon
27201002702,Janata Vidyalaya Dindori (Tas)
27201010502,Janata Vidyalaya Shirasgaon
27201010203,Janta Enghlish School & Jr. College Saikheda
27201010302,Janta Vid Shirwade (Va)
27201011802,Janta Vid. Tamaswadi
27201000102,Janta Vidyalaya Ahergaon
27201001404,Janta Vidyalaya Chatori
27201004104,Janta Vidyalaya Karanjgaon
27201004602,Janta Vidyalaya Karsul
27201006903,Janta Vidyalaya Naitale
27201007102,Janta Vidyalaya Nandurdi
27201008805,Janta Vidyalaya Pimpalgaon
27201005809,Jijamata Kanya Vidyalaya Lasalgaon
27201005803,"Jijamata Pri Vid , Lasalgaon"
27201009204,K. K. Wagh Junior College Kakasaheb Nagar
27201008609,K. K. Wagh Junior College Pimpalas (Ramache)
27201012807,K.B.Patil Mad Vidyalay Vinchur
27201012806,K.Bhau Patil Vidyalaya Vinchur
27201008611,K.K. Wagh Cbse School Bhausahebnagar
27201001615,K.K. Wagh English School Chandori
27201009205,K.K. Wagh English School Kakasahebnagar
27201008612,K.K. Wagh Prathmik Vidyabhavan Bhausahebnagar Pimpri
27201008708,K.K.Wagh College Pimpalgaon Baswant
27201008608,K.K.Wagh Mad.Vidya Pimpalas
27201008603,K.K.Wagh Vidyabhavan Bhausaheb Nagar
27201008607,K.M.K.B.'S English Medium Sch Bhausaheb Nagar
27201006503,"K.R.T.Vidyalaya , M.Sukene"
27201007005,K.T.B.Vidya Nandur Madhyameshwa
27201007010,K.T.B.Vidyalaya & Junior College Nandur Madhyameshwar
27201008809,Kai. M. L. Jadhav Kan. Vid.Pimpalgaon B
27201001802,Karmveer Dr Vasantrao Pawar Janta Vidaylaya Datyane
27201007614,Karmveer Ganpatdada More College Niphad
27201010603,Kavivarya Kusumagraj Madhymik &Higher Secondary Vidyalaya Shirwade Wani
27201007922,Kendriy Vidaylaya Ozar Mig
27201010604,Kusumagraj Abhinav Bal Vikas Mandir Shirwade Wani
27201005805,"Loknete Dattaji Patil Mad. Vid, Lasalgao"
27201007611,M. J Son Madhymik Ashram School Niphad
27201007606,"M. J Soni Pri Ashram School, Niphad"
27201002302,M.V.P. Janata Vid. Dharangaon Khadak
27201009904,Ma.Boraste Vidyalaya Sakore Mig
27201012102,Mad Vidyamandir Talwade
27201007913,"Madhavrao Boraste Madya ,Ozar"
27201009804,Madhy.Vidy. Sarole Thadi
27201001103,Madhyamik Vidyalaya Bhendali
27201002202,Madhyamik Vidyalaya Dharangaon Veer
27201008202,Madyamik Vidaylaya Pachore Budruk
27201009002,Madyamik Vidyalaya Pimpalgaon Nipani
27201003204,Madyamik Vidyalaya Gondegaon
27201010802,Madyamik Vidyalaya Shivare
27201011302,"Madyamik Vidyalaya Sonewadi,Budruk"
27201002902,Madyamik Vidyamandir Dongargaon
27201005806,"Mahaveer High Sch, Lasalgaon"
27201009703,Matoshri Jasodabai Soni Junior College Rasalpur
27201001614,Modern English Medium School Chandori
27201006904,Modern English Medium School Naitale
27201005807,"National Urdu High Sch , Lasalgaon"
27201013303,Navchaitanya English Medium School Varhedarna
27201007914,"Navin English School, Ozar"
27201009302,Ndmvp Janta Vid Ramnagar
27201012810,New Blossoms Eng Med Sch Vinchur
27201008103,New English Sch Palkhed
27201001609,New English School Chandori
27201009503,New English School Rui
27201012004,New English School Takali Vinnchur
27201001705,New Gurukul Public School Chitegaon
27201004303,New Gurukul Public School Kherwadi
27201007607,"Niphad English School ,Niphad"
27201004803,Nutan Mady Vid Khadak Malegaon
27201001703,Nutan Madyamik Vidyalaya Chitegaon
27201008903,Nutan Vidya Prasarak Mandals English Medium School
27201005811,Nvt Mandal Arts Com Scinence College Lasalgaon
27201007912,Ozar Vikas Vishwasatty Eng Med School
27201004404,P. T. Vid Khedale Zunge
27201006905,Parvati English Medium School Naitale
27201008807,Pimpalgaon High School Pimpalgaon B
27201008716,Pimpamgaon High School Pimpalgaon Baswant
27201007930,Podar International School Ozar
27201013802,Pri. Ashram School Sawargaon
27201008712,Radiant International School For Excellence Pimpalgaon Baswant
27201007929,Ryan International School Ozar
27201007008,Sadguru English Medium School Nandur Madhyameshwar
27201012812,Samarth Prathamik Vidyalaya Vinchur
27201005812,Sanskar English Medium School Lasalgaon
27201004902,Sant Janardan Swami Vidyalaya (Gurukul) Khede
27201005802,"Saraswati Vidyamandir, Lasalgaon"
27201005813,"Saraswati Madhyamik Vidhyalaya, Lasalgaon"
27201007609,Saraswati Vidyalaya Niphad
27201012002,"Seventh Day Lasalgaon, Takali Vinchur"
27201009203,Shri Chhatrapati Shivaji Maharaj Sec & Higher Sec School Kakanagar
27201009704,Shrimahiman International School Niphad
27201013302,Smt Anu.Madyamik Vid And Loknete Khanderao Govind Sanap Ucch Madhyamik Vid Varhedarna
27201005502,Swa.Vivekananad Vid Kundewadi
27201005302,Swatantray Veer Savarkar Vidyalaya Kothure
27201001704,Universal English Medium School Chitegaon
27201008804,Urdu High School Pimpalgaon
27201007608,Vainateya Madyamik Vidyalaya Niphad
27201007604,"Vainateya Prathamik, Niphad"
27201003905,Vidya Valley Public School Kasabe Sukene
27201007925,Vishwasattya Arts Com College Ozar
